id,Title,Description,Category
164," Vivica A Fox Hair Collection Silver-V New Futurua Synthetic Heat Resistant Fiber Pure Stretch Cap Wig, 1B, 5.8 Ounce ","Silver-V is an 18 inch layered style with roller set as a base, spiral curl on the side, and feathered bang in the front. Pure stretch cap stretches throughout the entire perimeter inside which lets you wear it comfortably all day without causing unwanted headache. Its roller set curl creates a mass of curly hair while spiral curls on the sides make it fun and versatile when it comes down to style. New futura fiber helps keep the curl longer and bouncier. Wherever you go, it is ready to rock and roll. "," Beauty & Personal Care › Hair Care › Extensions, Wigs & Accessories › Wigs "
166, Super Sensitive String Bass Rosin (9252),"Super-sensitive 9252 clarity rosin, summer bass. ", Musical Instruments › Instrument Accessories › Orchestral Strings Accessories › Rosin › Upright Bass 
171," J World New York Lena, Autumn ","J world New York Lena is a lightweight, compact and trendy backpack. It is available in several vibrant colors. Lena is made with a water proof fabric keeping the pack dry from rain and snow. The spacious main compartment includes a laptop/tablet sleeve and a front utility pocket for organizational purpose ", Electronics Computers & Accessories 
172, Pillow Perfect Outdoor/Indoor Wildwood Garden 18.5-inch Throw Pillow (Set of 2) ,"Update the look of your outdoor seating with this wild, summery print of blooming flowers and swirling vines, decorated with delicate patterns in spicy shades. Flowers bloom in shades of fruity orange, Berry red while vines sprawl in colors of Lime green and Pale Pea green, and sunlight shimmers on the leaves in lemon Yellow. This pair of 18.5-Inch throw pillows will add color and style to your decor, while pairing perfectly with white furniture. "," Patio, Lawn & Garden Patio Furniture & Accessories Patio Seating Decorative Pillows "
178," Preciosa Ornela Czech Seed Bead, Transparent Sapphire, Size 10/0 ","Rocaille seed beads are squat and rounded in shape, they're slightly wider around than they are tall. 10/0 Seed beads measure approximately 2.3 millimeters. Expect to receive about 3920 beads per hank. A standard hank is a group of about 12 strands approximately 20 inches in length grouped together. Always be certain to purchase a few more beads than you expect to need to avoid finding yourself a day late and a bead short. Preciosa ornela traditional czech glass seed beads exhibit superior quality, outstanding uniformity, and exceptional breadth of assortment, making them the perfect choice for any beading project not intended for children under 12 years of age. "," Arts, Crafts & Sewing › Beading & Jewelry Making › Beads & Bead Assortments "
180," Prestige Waterproof Lipliner, True Red, 0.05 Ounce ",The prestige waterproof lipliner is the essential tool for every make-up artist. modern 100% waterproof technology combines the softest application with long lasting wear. use prestige sharpener #6008 for best results. , Beauty & Personal Care Makeup Lips Lip Liners 
181, NAO Love Always Porcelain Figurine ,"Nao porcelain sculptures are hand crafted in Valencia, Spain where pioneers in the European porcelain industry have been creating timeless works of art since the company's inception in 1953. This blend of old-world craftsmanship and the latest ceramic technology ensures that each individual Nao sculpture is finished to perfection and will be cherished for generations to come. Nao's extensive collection of more than 300 sculptures captures the unforgettable moments of life including motherhood, weddings, childhood, falling in love, the joy of pets, the beauty of nature, religion and much more. Both gift-givers and discriminating collectors alike will appreciate the quality and attention to detail that signifies each and every Nao sculpture. Nao, part of the Lladro group, is sold in more than 122 countries around the world. ", Home & Kitchen Home Décor Home Décor Accents Collectible Figurines 
183," Pop Decors PT-0179-Va Beautiful Wall Decal, Music in My Happy Life ","High quality wall art product by Pop Decors, creates hand painted look on your wall. Free squeegee. [Size] Conductor: 18"" H x 12. 5"" W Other instrumentalists around: 39""(100cm) H. Colors: as shown in images. Decals can be applied on smooth and clean surface (walls, glass, doors etc. ). Not recommended for textured walls (orange, sandy and grainy), fresh paint (less than 14 days) or low VOC (Volatile organic compound) paint. Original designs by Pop Decors. 2010 Copyrights Protected. . ", Baby Products Nursery Décor Wall Décor Stickers 
190," Quartet Easel, Instant Easel Stand, Heavy-Duty, 64"", Supports 10 lbs., Tripod Base (27E) ","The Quartet Heavy-Duty Instant Easel makes presenting simple. Easel quickly sets up for instant use, whether you’re in the office or on the road. Collapses for quick clean up, allowing you to move to your next project or presentation. The instant display stands 63"" tall supports up to 10 lbs., making it ideal for heavy duty use. Perfect for large posters or signage. Easily collapse the easel for travel. The easel has a 25"" folded size, which is great for storage and portable use. Help improve visibility by adjusting the display height. Simply unclip and slide the display holders to different positions to make sure your display is seen. Black easel comes with limited 1 year warranty to ensure your satisfaction. "," Arts, Crafts & Sewing › Painting, Drawing & Art Supplies › Easels "
191, Reiko Cell Phone Case for Alcatel One Touch Fierce XL - Gray ,"Three side pockets for credit cards, business cards and other daily ""must-have"" items. The free Stand function makes you Watch videos or pictures in an easy way. Secure Magnetic flap to keep case closed and your phone scratch-free. Able to fit in pouches, bags or any other small pocket spaces. Quality-crafted for precise fit and easy operation. Made with synthetic Leather exterior with a soft, microfiber interior for drop and shock protection. Complete and stylish protection with full access to all ports, buttons, and camera. This phone FC22-ALCFIEXLGR is also known as Alcatel OneTouch Fierce XL 5. 5''. "," Cell Phones & Accessories Cases, Holsters & Sleeves "
195, Massera Opa Professional Back Massager with Variable Speed Massaging Heads ,"The 360 degree design oscillates over 2,500 times per minute, qualifying it as a professional-grade massager. Opal comes with interchangeable massaging heads: a wavy head for all over body massage, a nodule head for pin point massage and a buffer head for calluses. A smooth head is included as as well. The oscillating heads sit under a fine mesh net of fabric, so there is no friction on your skin, ensuring smooth, silky pleasure. The powerful and variable speed vibrations help reach deep and ease aching muscles, making it great for deep tissue stimulation. Measurements: 7 inch in length, 6 inch in height, 4.5 inch in width. Note: powered by US 110v electrical cord. ", Health & Household Wellness & Relaxation Massage Tools & Equipment 
196," Raymond Geddes Dual Hole Smart Phone Sharpener, 24 Pack (69718) ","With colorful app icons, this detailed Pencil sharpener looks like a smart phone!. check out our other great Raymond Geddes supplies and accessories as well! ", Office Products › Office & School Supplies › Writing & Correction Supplies › Pencil Sharpeners 
197, PRINCE CASTLE 943-017S Guide Rods with Cushions ,"943-017S, GUIDE RODS WITH CUSHIONS. Prince Castle Genuine OEM replacement part. Prince Castle has innovated solutions and technology for the specific needs of quick-service operators. Use genuine OEM parts for safety reliability and performance. ", Appliances › Parts & Accessories › Cooktop Parts & Accessories 
198," Playgro Activity Doofy Dog for baby infant toddler children 0101300, Playgro is Encouraging Imagination with STEM/STEM for a bright future - Great start for a world of learning ","The adorable Activity Friend Doofy Dog is a wonderful way of keeping your baby entertained while developing learning skills! The soft dog teaches your baby about hand-eye co-ordination while encouraging tactile and sensory development using sounds, shapes and textures. Simply attach to your stroller to keep your young one happy on the go. Activity Friend Doofy Dog features teethers, a mirror, rattle, crinkle fabric, and squeaker. Adorable and practical, the Activity Friend Doofy Dog is a great buddy for any young one! ", Toys & Games › Baby & Toddler Toys 
205, Ikan BCA107 Belt Clip (Black) ,The handy BCA107 belt clip attaches to our AC107 battery plate. Allowing you to clip your battery systems to any strap or thin flat surface like a Cheese Plate or shoulder strap or of course - your belt. , Electronics › Camera & Photo › Accessories › Batteries & Chargers › Adapters 
207, Pak-Easy US Flag Animated Lit Backpack Combo ,"Fun meets function with the Pak-Easy animated backpack! These bags help make your kids more visible in early morning or dusk lighting. The animated lunchbox panel features a spirited American flag and stars. This backpack has several pockets for school supplies and anything else your little student needs. The insulated lunchbox has a chloride-free PEVA anti-microbacterial lining for easy cleaning and safe eating. A premium exterior weave with incorporated thermal barrier keeps lunch at the right temperature and helps prevent leaks. Backpack measures 18"" x 12"" x 5"", designed and assembled in North America. "," Clothing, Shoes & Jewelry Luggage & Travel Gear Backpacks Casual Daypacks "
215, ALEX Toys Rub a Dub Tub Tunes Symphony ,"ALEX Toys Rub a Dub Tub Tunes Symphony has everything you need to compose your own bath time song and perform it! Floating xylophone has mallets to supply perfect percussion. The water drum can also be used with the mallets, or played as a bongo! By adding water to the flutes, you can change their tone, making it easy to tune and toot. Practice each individually or show off as a one man band! Includes water xylophone, 2 mallets, water drum and water flutes plus 7 waterproof song sheets. Recommended for children 3 years of age and older. ", Toys & Games › Baby & Toddler Toys › Bath Toys 
218," Avalon Organics Shampoo, Volumizing Rosemary, 11 Fluid Ounce (Pack of 2) ","Avalon Organics Shampoo, Volumizing Rosemary, 11 Fluid Ounce. Hair Care. Strong, healthy hair comes from simple, healing ingredients found in nature. For hair that is thin and limp, a medley of Rosemary Essential Oil, Quinoa Protein, Calendula, Aloe and Vitamin E thoroughly cleanse while building volume from root to tip. The result: thick, full body and healthy shine. Avalon Organics is grounded in the knowledge that all beauty begins within the Earth. Guided by the wisdom of nature, each product is thoughtfully crafted for optimal effectiveness while meeting a strict organic standard. Formulas contain carefully selected botanicals that are nurtured by the elements then tenderly harvested to nourish the body from the outside in. Deep rooted beauty is at the heart of the Avalon Organics Guiding Principles – ensuring that every product reflects a deep reverence for the planet and all it provides and contributes in its own small way to a holistic lifestyle of health, wellness and sustainability. ", Beauty & Personal Care › Hair Care › Shampoo & Conditioner › Shampoos 
224," EARTHLITE Professional Massage Creme - Multi Purpose Arnica & Lavendar Massage Cream, Paraben Free (Made in USA)(16oz) ","Our Multi-Purpose Massage Crème is long lasting with the glide and feel of oil and the absorption of lotion, ", Beauty & Personal Care Tools & Accessories Salon & Spa Equipment Professional Massage Equipment 
225," Darice Embossing Essentials Die, Symmetrical Swirl ","Ideal for elegant and dramatic accents, this symmetrical swirl is perfect for dressing up your paper creations. This all-in-one die cut lends your paper crafts a versatile hand with three different functions including, die-cutting, embossing, and stenciling. Full of swirling accents, this simple die cut is ideal for embellishing greeting cards, gift bags, party invitations, and much more. "," Arts, Crafts & Sewing › Scrapbooking & Stamping › Die-Cutting & Embossing › Die-Cuts "
229, Heimess Clip Figure Bear Baby Toy ,"The clip figure, your sweetheart does not get bored on the road! the pretty wooden figure is simply clipped to the stroller and so does your baby Corporation. The smooth processed balls made of Beech and maple summed up when gripping and playing at pleasant. Tactile and motor skills will be extracted. ", Toys & Games Baby & Toddler Toys 
230, FyrFlyz Green White LEDs Cyclone ,Get your hands on a one of a kind toy with the FyrFlyz Cyclone.Be the first of your friends to discover these unique gadgets that create amazing light shows from the palm of your hand. Wow your pals as you whizz the Cyclone through the air in different shapes to create streams of white and green light. , Toys & Games › Novelty & Gag Toys › Light-Up Toys 
231," Premium Compatibles Inc. 106R1621-PCI PCI Xerox 106R1621 Ce255A Cartridge, Black ",PCI Xerox 106R1621 Replacement for HP CE255A 6K Black LaserJet Toner Print Cartridge for HP LaserJet P3010 HP P3015 HP P3015D HP P3015DN HP P3015X HP P3016 HP P3015X HP P3011 HP P3015 CE255ARPC Made in the USA by Premium Compatibles Inc. , Office Products › Office & School Supplies › Printer Ink & Toner › Laser Printer Drums & Toner 
244, Crestware 6-Ounce Solid Portion Controller ,"6 oz Solid Black Portion Controller. For professional use. Made for heavy duty, high usage food service businesses. ", Home & Kitchen Kitchen & Dining 
246, Lagure Translucent Powder - Best Loose Setting Powder Foundation and Highlighting Face Powder with Step-by-Step Guide ,Ultra light and fine powder that perfectly adheres onto skin. Ideal as a final touch to your complexion. Reduces shine and evens out skin tone. Leaves a natural looking and radiant appearance. Suitable for all skin types. , Beauty & Personal Care › Makeup › Face › Powder 
258, Honeywell Security 5800RP Ademco Alarm Wireless Repeater ,LiveWatch has redefined wireless home security systems. Delivering revolutionary protection and peace of mind LiveWatch delights customers across the country with its wireless home security systems. LiveWatch leads the industry with its interactive Plug & Protecto wireless alarm system that empowers customers with cutting edge protection and control. LiveWatch provides unbeatable value and exceptional service with its award-winning alarm monitoring service. LiveWatch is the most recommended security company in America. Recently LiveWatch was named the #1 Wireless Security Company in America #1 Alarm Monitoring Company in America and won a national award for e-Commerce Customer Service. , Electronics Computers & Accessories Networking Products Repeaters 
259, Mage Wars Forcemaster vs. Warlord Expansion Board Game ,Mage Wars: Forcemaster vs. Warlord Exp , Toys & Games Games Board Games 
261," Craft Outlet Inc Craft Outlet 5"" Lx2.5 Wx8.25 H Flower in Pot Figurine, Multi ","Craft Outlet 5""Lx2. 5""Wx8. 25""H Flower In Pot Figurine. This themed figure set works great in any home decor as an accent piece. Craft Outlet is a country and primitive crafts company that has something special for winter, spring, summer or fall. With an extensive product line varying from everyday decor and garden tins to decorative stars, plush and seasonal decor, COI certainly has something for you to accent your home. ", Home & Kitchen › Home Décor › Artificial Plants & Flowers › Artificial Flowers 
262," Lola Rola Sticky Mop, Picks Up Dirt, Dust, and Hair, Pet Hair Remover, Adhesive Roller, 9” Wide Roller Head, Includes 30 Large Adhesive Perforated Sheets, Must Have For Pet Owners ","You'll get stuck on our Sticky Mop. ""It's Like a Vacuum Without a Cord. The giant adhesive roller mop is made of a specially formulated sticky paper that picks up all types of dirt, dust, debris, hair and much more. The easy tear off sheets pick up 60-percent more than other brands. The high gloss resin coated steel extender handle with swivel hang cap extends up to 53-inch. It works great on all types of fur and hair. The Lola Rola Sticky Mop works great on carpets as well as hard surfaces. Terrific for use in bathroom, kitchen, and all around the house. Also great to clean cars and car trunks. The uses are endless. This 9"" wide roller has 30 large sheets per roll and is refillable. Hint...Don't leave the sticky head on the ground without rolling. The adhesive will stick and you'll have a mess on your hands. Try It and You'll Love It. ", Health & Household Household Supplies Cleaning Tools 
265, Phottix Luna Folding Octa Softbox 109cm (PH82754) ,"The Phottix Luna series of compact beauty dishes and soft boxes. The Phottix Luna Folding Octa Softbox is much easier to set up and use than traditional Octas. Constructed from high-temperature Softbox material and featuring internal supports made from white fiberglass, the Luna Octa sets up and breaks down in seconds. There are no separate rods, no bending, contorting, cursing or asking for assistance. You can have a Phottix Luna Folding Octa assembled and on your Moonlight in less than a minute. Great to take on-location, easy to carry and transport in the included carrying bag. Interchangeable speed rings mean you can use this modifier on many different studio strobes. Use it with a Bowens-compatible adapter and the Phottix HS Speed Mount for use with a hot shoe flash. Includes: Phottix Luna Folding Octa Softbox 2 diffusers Carrying bag Bowens Speed Ring Additional Speed Rings Sold Separately. ", Home & Kitchen › Bath › Bathroom Accessories 
267," Aurora GB PolyPro Binder, 1-Inch Round Ring, 8-1.2 x 11 Inches, Green with Envy, Pinstripe Embossing and Heavy Duty 55 Gauge Polypropylene (AUA60003) ","The PolyPro Binder is a 1.0 inch round ring binder constructed with heavy duty 55 gauge polypropylene and is a great value. Open and close triggers allow easy access to important documents. The heavy-duty metal rings and a durable hinge provide for long-lasting dependable use. The attractive designer cover is both scratch and moisture resistant while still looking stylish and professional. Aurora Products Company has been in business since 1938. They are expert in the manufacturing of office and school supplies such as 3 ring binders, clipboards, desk and mouse pads and more. Most products are 100% recyclable, PVC Free, low VOC's and made with at least 39% post consumer waste recycled materials. With Aurora products, ""green"" has never been so easy or looked so good. ", Office Products › Office & School Supplies › Binders & Binding Systems › Binders › Round Ring Binders 
270," Premium Compatibles Inc. A0DK232-PC Replacement Ink and Toner Cartridge for Konica Minolta Printers, Yellow ","Premium Compatibles Inc. Konica Minolta A0DK232 8K High-Yield Yellow Laser Toner cartridge for Konica Minolta Magicolor 4650 4650DN 4650EN 4690MF 4695MF See also A0DK132 A0DK332 AODK432 USA Made by Premium Compatibles Inc. Americas OEM Alternative UPC 845161028834 for Use in Konica Minolta magicolor 4650DN, Konica Minolta magicolor 4650EN, Konica Minolta magicolor 4690MF, Konica Minolta magicolor 4695MF Printers ", Office Products › Office & School Supplies › Printer Ink & Toner › Laser Printer Drums & Toner 
274," China Glaze Nail Lacquer, Fancy Pants, 0.5 Fluid Ounce ",Express yourself online and off with amazing china glaze color. Select from over 300 high gloss colors that give the confidence of gorgeous nails wherever and whenever it's time to shine. ," Beauty & Personal Care Foot, Hand & Nail Care Nail Art & Polish Nail Polish "
275, Body Fantasies Fresh White Musk 3 Piece Gift Set for Women ,Blends the clean fresh natural scents of bright white florals with a mix of soft musks. Our best selling fragrance! , Beauty & Personal Care Fragrance Women's Sets 
276," Sparco Shipping Carton, 14""Wx14""Dx14""H, 12-Pack, Kraft (SPR70004) ",Corrugated shipping cartons are made with 200 lbs. ," Office Products Office & School Supplies Envelopes, Mailers & Shipping Supplies Mailers "
277, Hockey FaceOff DecoSet Cake Decoration ,"Score a hat trick with the Hockey Face-Off DecoSet birthday cake decoration. Set the scene for the game-winning shot with this DecoSet that includes a hockey net, two hockey players, and a goalie. "," Grocery & Gourmet Food › Pantry Staples › Cooking & Baking › Frosting, Icing & Decorations › Cake & Cupcake Toppers › Cake Toppers "
278," M.V. Trading Silicon Food Sushi Mold Cup for Bento Lunch Box, Circle, Set of 3 ","Creating muffins, cupcakes, brownies, or cheesecakes have never with easier with this silicone reusable baking cup! these silicone cups can be used over and over again, which saves hundreds of disposable paper muffin liners. No muffin pan is necessary; place directly on cookie sheet when baking. They also resist heat, stains and odors and are extremely easy to clean. Flexible silicone also allows for food to cook evenly and quickly without sticking. Colors may vary. Simply pour your favorite recipe in the mold, bake and cool completely. This flexible silicone pan offers a non-stick surface that allows the baked goods to pop right out with no mess and no fuss. Since silicone mold is freezer safe, it is great for chilled and frozen foods such as ice cream cakes and gelatins. Cleaning is a breeze: rinse the pan with hot water or place it in the dishwasher. Approved premium quality 100-percent food-grade silicone, it resists stains and odors and it handles temperature. Rust-Free silicone product is also safe to use in microwave, oven, freezer and dishwasher. ", Home & Kitchen Kitchen & Dining Bakeware Pastry & Baking Molds 
280, BARSKA STARWATCHER Telescope ,"The Barska® Starwatcher telescope is an ideal entry-level telescope for the aspiring amateur astronomer. It is easy to set up and includes everything necessary to begin the adventure of a lifetime, including telescope, finderscope, eyepieces, mount and tripod. Each Starwatcher telescope also includes the Beginner's version of the popular Deepsky Astronomy Software, which includes a searchable database of over 10,000+ objects. ", Sports & Outdoors › Sports & Fitness › Hunting & Fishing › Shooting › Optics 
281," Libbey Vina Red Wine Glasses, Set of 6 ","The Libbey Vina 6-piece Red Wine Glass Set gives you peace of mind. Their clean lines, graceful curves, and sparkling clear glass draw glances. Their unique deep-bowled balloon shape allows gentle swirling. And their wide foot provides stability and balance. The minimum bead also creates an attractive, finely rimmed appearance. ", Home & Kitchen › Kitchen & Dining › Dining & Entertaining › Glassware & Drinkware › Wine & Champagne Glasses › Wine Glasses 
286," David King & Co. Male Bag with Organizer Inside, Black, One Size ",14 card slots ," Clothing, Shoes & Jewelry › Luggage & Travel Gear › Briefcases "
289, Noritake Atlantique 9-Inch Salad Plate ,"Since 1904, Noritake has been bringing beauty and quality to dinner tables around the world. Superior artistry and craftsmanship, attention to detail and uncompromising commitment to quality have made Noritake an international trademark during this past century. Noritake Dinnerware will set your table with the standard of perfection. ", Home & Kitchen › Kitchen & Dining › Dining & Entertaining › Dinnerware › Plates › Salad Plates 
290," EK Tools Circle Punch, 1.25-Inch, New Package ","Punch precise shapes that can be layered in perfectly graduating stacks. This ek tools 1.25-inch Circle Punch is part of the nesting punch collection. A great basic to have on hand for scrapbooks, cards, decorations and any paper craft. Punched out shape also works well as a mat for photos and other designs, while the remaining punched paper can serve as a frame or border. Compact design locks shut for convenient storage. "," Arts, Crafts & Sewing Crafting Paper & Paper Crafts Punches "
295, American Educational Investigations in Physical Science Teacher's Guide ,This fun and unique guide includes 12 simple science experiments for middle school students. Designed to give teachers and students an uncomplicated format to facilitate science education through the use of activities and experiments. National science education standards are emphasized. For grades 5 to 8 and ages 10 to 14 years. , Toys & Games Learning & Education Science 
297, Aurora World Flopsie Horse/Jack Plush ,"Aurora World Flopsie animals are made with top quality materials and soft plush. The poly-bean filling is double bagged for safety and Flopsies feature lock washer eyes, ensuring durability and long time enjoyment. Aurora World is an industry leader with over 30 years of experience designing and manufacturing innovative, high quality plush products. ", Toys & Games › Stuffed Animals & Plush Toys › Stuffed Animals & Teddy Bears 
299," Darice Wood Embroidery Hoop 3"" ","Darice Wood Embroidery Hoops are the perfect companion for all your embroidery, quilting or needlecraft projects! A wood hoop is ideal for holding fabric, it much easier to achieve good, even tension on all sides. Each size is lightweight and portable, you can perform your needlepoint virtually anywhere! Each hoop has metal "" L"" brackets with a brass screw for tighten, which allows you to work with any fabric thickness you desire. Sanded smooth finish makes each hoop a joy to handle! Great for cross-stitch, hand embroidery, (ribbon, crewel, candle wicking) and much more! 3"" "," Arts, Crafts & Sewing › Needlework › Embroidery › Hoops "
301," Cables Unlimited UTP-1700-03K Cat5e Crimped Patch Cable (3 feet, Black) ","Our high performance Gigabit Ethernet patch cables are perfect for connecting a PC to a network. These 350MHz stranded cables are assembled with enhanced RJ45 connector, made from 24AWG cable with a PVC jacket. ", Electronics › Computers & Accessories › Computer Accessories & Peripherals › Cables & Interconnects › Ethernet Cables › Cat 5e Cables 
306, Kerastase Bain Fluidealiste Sulfate Free Shampoo 16.9 oz ,"Kerastase Discipline Bain Fluidealiste is designed to protect your hair against frizz and humidity for up to 72 hours. This shampoo is more than just a simple cleanser, it will gently cleanse away impurities without weighing down the hair, whilst the pro-keratin formula restores and re-establishes the integrity of the hair. Kerastase Discipline Bain Fluidealiste is enriched with amino acids, a wheat protein derivative and ceramide R which smooths and strengthens the hair and creating an even surface and a hydrophobic layer which protects the hair from humidity. Your hair will be left with natural movement, a soft texture and a frizz-free finish. ", Beauty & Personal Care Hair Care Shampoo & Conditioner Shampoos 
308," 24, Cobalt blue, 15 ml (1/2 oz) Glass Bottles, with Glass Eye Droppers ","These high quality Cobalt Blue glass bottles with glass eye droppers, are perfect for storing your essential oils, perfumes or colognes. The Cobalt Blue glass provides protection from potentially harmful light. The convenient size makes it perfect for travel. ", Beauty & Personal Care › Tools & Accessories › Bags & Cases › Refillable Containers 
318," Betty Dain Luminous Salon Stylist Apron with Hidden Zippered Pockets and Adjustable Neck, White ","Betty Dain's Luminous Apron is a lightweight, stylish and functional smock for all salon and spa processes. Its polyester / nylon blend fabric has a silky smooth surface that repels hair, and is water resistant and machine washable. Best of all, this apron is designed with two lower pockets that feature hidden zippers on the bottom to make it easy to remove hair and debris. The wide, comfortable neck strap is adjustable as well. Available in multiple colors to suit your style. Designed and manufactured by Betty Dain, which has listened to the needs of the beauty industry and created high-quality solutions for over 60 years. ", Beauty & Personal Care › Hair Care 
